id,customer_message,historical_response,intent,expected_resolution,should_escalate,escalation_reason
20,@VirginTrains Hi there. I've just booked a ticket from Brighton to Bournemouth (Ref 7TKKH866) but chose the wrong date. I needed 5th December but booked 12th December. Is there any way to cancel this or amend?,"@237443 Just speak to the Aftersales team on 0344 556 5650 and they can assist you further, Rachel ^MW",ticket_change,Explain whether the ticket can be changed and provide the appropriate ticket amendment process.,n,
21,"Top tip for using mobile tickets on @VirginTrains . You arrive at the station and the tickets have not downloaded, apparently its your problem. They won't refund, it is apparently your responsibility to be prepared!",@147641 The Aftersales Team would be best to advise further on 0344 556 5650 or via WebSupport LiveChat - https://t.co/PAMNyrwzCC ^MM,refund_compensation,"Review the mobile ticket failure and refund issue, then direct the customer to the Aftersales team for case-specific assistance.",y,"The customer reports that the mobile tickets failed to download and that a refund was not provided, requiring case-specific review of the ticket and refund."
22,@VirginTrains He told me the conversation was being recorded so I can prove that he was charging me that silly amount. So your telling me he made a mistake twice 1 by selling me the wrong ticket and 2 charging me a ridiculous high price for the right ticket?,"@708220 The Train Manager would have to retail the highest price return ticket so an Anytime return is the correct ticket, Cheryl ^MW",fare_price,"Review the ticket type and fare charged, explain whether the fare was correct, and investigate the reported ticketing error.",y,"The customer disputes a specific ticket sale and unusually high fare and alleges that the wrong ticket was sold, requiring transaction-specific review."
23,@VirginTrains yet another reserved window seat. And b4 you ask no isn’t a seat to move to. Feeling 🤢 again. Just like yesterday https://t.co/bZToK6fCbm,"@341720 Sorry for that, have you spoken to staff for assistance. ^PA",seat_reservation,"Check the customer's reserved seat and investigate why the window seat was not available, while providing immediate seating assistance for the current journey.",y,"The customer reports repeated failure of a reserved window seat and is experiencing the issue during the current journey, requiring staff assistance and investigation."
24,"@VirginTrains @120576 Nobody needs to ""look into it"" and I didn't ask you to. I have filed for compensation. I was making an observation about yet another journey from hell on a Virgin train. EC or whatever makes no difference to the traveller.","@135500 @120576 I see, sorry for the misunderstanding there Abby. ^PA",complaint_feedback,"Review the customer's compensation case and acknowledge the complaint about the poor journey, while avoiding unnecessary investigation since the customer has already filed for compensation.",y,"The customer has already filed for compensation but is also reporting a poor journey experience, so the case should be reviewed in the context of their existing compensation claim and complaint."
25,@VirginTrains Hiya - can I DM you about an amendment I have made to a booking? Not getting anywhere on the phone and need it resolved soon as poss. Thanks!,"@256528 I see, yes go ahead, Suzy? ^MW https://t.co/hhfk9c3ylv",ticket_change,"Review the booking amendment and duplicate tickets, then help the customer resolve the accidental order and explain the applicable refund process.",y,"The customer has ended up with duplicate tickets after attempting to amend a booking and cannot complete the refund process, so the booking and refund need case-specific review by Aftersales."
26,@VirginTrains when will dates and prices be out for September 2018 please,@299632 Weekdays 4 weeks in advance and 12 weeks for weekends. ^PA,fare_price,"Explain the applicable fare, price, or booking conditions.",n,
27,@VirginTrains I am really disappointed and surprised about the state of your first class lounge at London Kings X!,"@369033 Hi Gary, this would be a @120576 station. Therefore the team there may be able to help. ^BT",complaint_feedback,Acknowledge the concern and provide the appropriate complaint or feedback process.,n,
28,@VirginTrains Can I have the complaints contact?,@229851 Complaints can be escalated on https://t.co/uAT3XTWt1R  ^MM,complaint_feedback,Acknowledge the concern and provide the appropriate complaint or feedback process.,n,
29,"@VirginTrains So now I arrive in Blackpool Sth an hour late, and basically that’s my problem? V disappointing.","@295309 Really sorry about that, Alan, you will be entitled to Delay Repay by contacting us here: https://t.co/h3fakKSZLB ^HP",refund_compensation,Explain the applicable refund or compensation process and provide the appropriate claim guidance.,n,
30,@VirginTrains Anyone to discus a booking I've made. I've tried to amend it online and now ended up with two lots of tickets. I just booked them and don't have the actual printed tickets and it is saying I won't get money back for the accidental order until I post them. But I don't have them?!,"@794216 Ah ok Abigail, you'll need our Aftersales team on 0344 556 5650. Lines are open until 10pm and they should be able to assist further ^HP",ticket_change,"Review the booking amendment and duplicate tickets, then help the customer resolve the accidental order and explain the applicable refund process.",y,"The customer has ended up with duplicate tickets after attempting to amend a booking and cannot complete the refund process, so the booking and refund need case-specific review by Aftersales."
31,"@VirginTrains please help! I’ve booked a ticket on my app but for the wrong date, what can I do? #blondemoment","@142734 Oh no! The best thing to do is to call our Aftersales team on 03445565650. They'll be best placed to help you with this, Tony ^CB",ticket_change,Explain whether the ticket can be changed and provide the appropriate ticket amendment process.,n,
32,@VirginTrains I'm on the 12:33 London KX to Leeds. I have a seat now thanks but it was really embarrassing &amp; confusing! 🤦🏻‍♀️,"@383040 Oh no, glad you've been able to get one now. It sounds like you're on a @120576 service today, enjoy your journey 😊 ^HP",seat_reservation,Check the customer's seat reservation and provide appropriate seating guidance for the current journey.,y,"The customer experienced a problem with their seat during the current journey and the circumstances are unclear, so the seating situation should be checked."
33,@VirginTrains service to Crewe cancelled rerouted on #eastmidlandstrains so kind and helpful to help us figure out how to get home 😊👏,"@494733 Sorry for the delays, glad you are on your way home now. ^PA",train_status,Provide relevant information about the disrupted service and acknowledge the alternative travel arrangement.,n,
34,@VirginTrains hi we are booked on the 11:15 from manc to eust.  Can we go from man &gt; Leeds and then Leeds &gt; Stevenage,"@255953 HI Vix, this will be valid with your ticket as we have ticket acceptance in place with TPE and Virgin Trains East Coast. ^BT",ticket_change,Confirm whether the customer's existing ticket is valid for the proposed alternative route and explain any applicable ticket acceptance arrangements.,n,
35,@VirginTrains It says the train is no longer stopping at chester is this correct?,@429855 This service should be travelling to Chester but due to the disruption an early termination is possible ^CB,train_status,"Provide the relevant train status, disruption information, and appropriate travel guidance.",n,
36,Long trip on @VirginTrains today. Ridiculous they still charge (sweetly) for WiFi unlike @124107 free,"@355011 @124107 Hi, we are working towards offering a free Wi-Fi service in the near future ^HP",wifi_connectivity,Provide guidance about the onboard Wi-Fi service and explain the applicable Wi-Fi offering.,n,
37,". @VirginTrains, you're a disgrace. 10.58 from Preston that Edinburgh is delayed, missing several coaches, toilets stink, WiFi out. Can you get anything  right?","@650345 That's a @242596 service, Anastacia ^MW",train_status,"Provide immediate information about the delayed service and available travel assistance, while addressing the reported service issues and investigating the disruption.",y,"The customer is currently experiencing a significant service disruption involving a delay, missing coaches, poor facilities, and Wi-Fi failure, so the case requires immediate assistance and investigation."
38,"London to Birmingham via @VirginTrains 
Very good lounge at Euston, and i have some complimentary nuts! https://t.co/bMbFc5XE22","@357981 Nice! Have a great journey, Paul 😊  ^HP",station_facilities,Acknowledge the customer's positive feedback about the station lounge.,n,
39,@VirginTrains So what now?,@360924 2/2 further for you ^HP,other,Ask the customer to clarify what assistance they need because the message does not identify a specific request.,y,The customer has provided insufficient context to identify the issue or appropriate resolution.
40,@VirginTrains  Wifi so good it actually timed out while I was trying to pay for it this morning!,@122256 Sorry to hear this. Did you make the payment for the Wi-Fi? ^LC,wifi_connectivity,Provide guidance for connecting to or troubleshooting the onboard Wi-Fi service.,n,
41,"@VirginTrains Sorry for the late reply, I couldn’t connect! Nope still not improving 😞",@140889 2/2 able to reset the system for you ^HP,wifi_connectivity,Acknowledge the Wi-Fi connection problem and provide troubleshooting or reset assistance to restore the onboard Wi-Fi service.,n,
42,@VirginTrains competing with @120872 for poor service. Two hour delay at Doncaster.  Shocking!,"@637430 @120872 Hi Dean, it sounds like you may have been travelling with @120576 so we'll pass this over for you ^HP",train_status,"Provide current information about the delayed train and available travel assistance, while addressing the significant service disruption.",y,"The customer is experiencing a two-hour delay during their journey, requiring current service information and immediate assistance."
43,@VirginTrains His name's Alex!,"@690833 We will be sure to pass this on, Stephen. Thanks for letting us know. ^BT",other,Acknowledge the message because it does not contain a clear support request.,n,
44,@VirginTrains @67826 Newcastle,"@511130 @67826 Thanks Joseph, sounds like he would have been travelling with @120576 so we'll pass this to the team :)",other,Ask the customer to provide more information because the message does not contain enough context to identify the request.,y,The message contains only a location/name reference and insufficient information to determine the customer's request.
45,"@VirginTrains supposed to get 19:03 euston to birmingham new street, can I use my ticket for farnborough&gt;basingstoke&gt;new street?","@432797 No sorry Vicci, you wouldn't be able to use your ticket on this route. ^BT",ticket_change,Confirm whether the customer's existing ticket is valid for the proposed alternative route and explain the applicable ticket acceptance or route restrictions.,n,
46,@VirginTrains I don’t have a reference number as it was over the phone?,@132558 Who did you speak to? If you DM your email address we'll search that. ^PA https://t.co/hhfk9c3ylv,other,Review the customer's previous phone interaction and use the available identifying details to locate the case and provide the appropriate assistance.,y,"The customer has no reference number because the interaction was handled by phone, so the support team needs to identify and retrieve the case before resolving the issue."
47,"#BadTrainDay :

7.44am @232537 Essex Road service cancled. 

8.23am @VirginTrains Euston - Birmingham: arrived 45minuites late. 

5.12pm @121428  Birmingham - Plymouth: arrived an hour late.

These journeys cost £215; is this acceptable @145773 Chris Grayling?","@275910 @232537 @121428 @145773 If you were delayed longer than 30 minutes on our service, please apply for delay repay here https://t.co/v2F1XYIfEP ^BT",refund_compensation,Review the customer's multiple delayed journeys and determine the appropriate Delay Repay compensation for the affected services.,y,"The customer reports multiple delayed journeys and is seeking compensation for several trips, so the individual journeys and compensation eligibility need to be reviewed."
48,@VirginTrains VT-061117-9279,@515860 Can you please DM us so we can discuss it. ^PA,other,Ask the customer to provide more information because the reference number alone does not identify the request.,y,"The customer has provided only a reference number, so the underlying issue cannot be determined without retrieving the associated case."
49,@VirginTrains It is yes,@232534 This should be OK providing your service isn't cancelled ^MM,other,The message is incomplete and does not provide enough context to determine the customer's request; ask the customer to clarify what they need assistance with.,y,The customer message is too incomplete to identify the issue or provide a reliable response without additional context.
50,@VirginTrains extremely disappointed in the poor management of our journey. Can you please arrange for someone to contact me to discuss further? #complaint,@677658 If you wish to make a complaint regarding this please get in touch through our website: https://t.co/g5NNE2E7zA ^CB,complaint_feedback,Review the customer's complaint about the poor management of their journey and arrange appropriate follow-up through the complaints process.,y,"The customer has explicitly requested contact to discuss a complaint about their journey, so the case requires follow-up by the appropriate support or complaints team."
51,@VirginTrains “Should”???,@292418 Yes @120576 have ticket acceptance so not sure why you're being refused. ^PA,other,Ask the customer to provide clarification because the message is too short to identify the support request.,y,The customer has provided insufficient context to determine the issue or appropriate resolution.
52,"@VirginTrains @55766 Moving rtn tckts from 18th to 26th  Oct, got as far as the payment screen and it lost connection. Do you have internet issues right now?","@433505 @55766 I see, try speaking to the Aftersales team on 0344 556 5650 and they can try and assist you, Fiona ^MW",ticket_change,Review the customer's request to change the return ticket dates and help complete the amendment after the payment-stage connection failure.,y,"The customer was unable to complete a ticket amendment because the connection failed during payment, so the booking needs case-specific assistance from Aftersales."
53,"Big shout out to @VirginTrains, automatic refund for late train, top class customer service 👏👏👏","@444731 Love that, hopefully you're not delayed again though Ken ^MW",refund_compensation,Acknowledge the customer's positive feedback about the automatic refund for the delayed train.,n,
54,"@VirginTrains hi, am I allowed to travel on an earlier train with my advance-reserved seat ticket? Thank u. 😀","@416028 Afraid not, you would need to travel on the booked service only ^MW",ticket_change,Explain whether the customer's advance-reserved ticket can be used on an earlier train and clarify the applicable travel restrictions.,n,
55,"Thanks @VirginTrains for a smooth in app refund process, I booked the wrong destination by accident :-) https://t.co/nz7IolZ2Do","@786604 Great to hear, Taylor :) ^LC",refund_compensation,Acknowledge the customer's positive feedback about the in-app refund process.,n,
56,"@VirginTrains and now you cancel the 1935 because you don’t have train crew? Shocking day, terrible service, beyond embarrassing","@499554 Apologies, this is a residual effect of the line closures earlier this evening. You will be able to claim 1/2",train_status,"Provide immediate information about the cancelled service, available alternative travel arrangements, and applicable compensation guidance.",y,"The customer's train has been cancelled due to a crew issue and they are experiencing an active travel disruption, requiring immediate assistance and guidance."
57,"@VirginTrains We boarded at Wakefield on the 10.47 service to Edinburgh, there was barely enough space in the vestibule, let alone available seating",@367332 This is one for our friends at @120576 to help with. ^PA,seat_reservation,"Provide immediate assistance with the lack of available seating and overcrowding on the current service, and check the customer's seating situation.",y,"The customer is currently on an overcrowded service with insufficient space and seating, requiring immediate assistance during the journey."
58,@VirginTrains wrong tickets printed despite proof of purchase. 2 extremely unhelpful virgin staff Jan &amp; Leyla. I need some help! 🙏😬☹️ https://t.co/doMAh4lBDa,"@368780 Hi Richard, where did you purchase your tickets please? ^HP",ticket_change,"Review the customer's ticket purchase and the incorrectly printed tickets, then help resolve the ticketing issue and provide appropriate assistance.",y,"The customer reports that the wrong tickets were printed despite proof of purchase and has already had difficulty getting help from staff, so the specific ticketing case requires investigation."
59,@VirginTrains Hi - tickets just now booked. Euston - Glasgow return.,"@295329 Thanks Laura, can you DM us your booking reference number please? ^HP https://t.co/hhfk9c3ylv",booking_ticket,Provide guidance or confirmation regarding the customer's newly booked ticket.,n,
60,@VirginTrains He's not been through. Just leaving Motherwell so will be in Glc shortly. Think I've lost a couple of stone 😂,@670019 That's not good to hear Martyn ^RD,other,Acknowledge the message because it does not contain a clear support request.,n,
61,"@VirginTrains if I’m travelling Preston &gt; LONDON today , will thee be major issues due to yesterday’s flood sand Birmingham line block ?",@120857 Services are running but delays are expected due to last night's disruption and a points failure at Preston. Live updates are being posted on our website: https://t.co/D5qYT1yTG9 ^CB,train_status,"Provide the relevant train status, disruption information, and appropriate travel guidance.",n,
62,@VirginTrains Isn’t that everyday?,@153902 Yes but don't tell anyone else 😉 ^MW,other,Acknowledge the conversational message because it does not contain a support request.,n,
63,"@VirginTrains in the first class lounge at Euston, very nice! Flapjacks are 👍👍😀","@748116 Brilliant to hear Stephen, did you save me one? ^MW",station_facilities,Acknowledge the customer's positive feedback about the first-class lounge.,n,
64,"@VirginTrains No, my meeting finished early so I travelled to Rugby with LM and then boarded the V train from Rugby","@139120 2/2 to a delay, but in cases of choosing to take another service, then you would need another ticket ^HP",ticket_change,Explain whether the customer's ticket is valid after changing services and clarify the applicable ticket requirements when choosing an alternative service.,n,
65,Hi @VirginTrains I connect to 'virgintraibswifi' and nothing happens...?,@766404 Could you try https://t.co/1JEOSVPtGN ^LC,wifi_connectivity,Provide guidance for connecting to or troubleshooting the onboard Wi-Fi service.,n,
66,@VirginTrains The only ones that are here are to Blackpool. Why have they been prioritised when there are hundreds of people queuing on platforms trying to get out of the station to go to Lancaster and further north?,@273457 They may be still en route but have been ordered ^MW,train_status,Explain the current service disruption and why services toward Blackpool have been prioritised. Check the available services toward Lancaster and further north and provide appropriate alternative travel guidance.,y,"The customer is experiencing an active station disruption with large numbers of passengers waiting for services toward Lancaster and further north, so the current service situation requires human review."
67,@VirginTrains @503911 Thank you. Im actually trying to plan whether I will be able to get my next train as I have to be at Three Bridges for 530pm 😊,"@503912 @503911 1/2 Ah I see what you mean Karl, really sorry for the delay. If you do miss your connection, then please speak",train_status,"Provide the current delay and connection information so the customer can determine whether they will catch the next train to Three Bridges. If the connection is likely to be missed, provide appropriate alternative guidance.",y,"The customer is relying on the current service information to make a time-sensitive connection, so the live journey situation should be checked by a human."
68,@VirginTrains Did YOU know you can collect tickets from any station? Not necessarily your nominated one!!! I guess you didn't! #virgintrains,@524337 2/2 save you travelling to another station. Glad they have helped out though 😃 ^BT,booking_ticket,"Provide guidance about booking, tickets, or ticket validity.",n,
69,@VirginTrains I was delayed 2 hrs on 5th Nov. Used app for tickets but didn’t get automatic refund as website states. After 1 week so submitted online form and still not heard anything. When will I get a refund?,@770996 It can take the team up to 28 days to issue a full response although they do aim to respond with 14 days were possible ^MM,refund_compensation,Provide an update on the customer's delayed-travel refund/compensation claim and check the status of the online form submission. Explain the expected processing timeline and next steps.,y,"The customer has already submitted a refund claim and is still waiting for a response, so the specific case status needs to be checked by a human."
70,"@VirginTrains hello, what are the unreserved coaches on the 11.23 London Euston to Birmingham new st please?",@281218 Coach C will be unreserved on that service ^CB,seat_reservation,Provide guidance about seat reservations or investigate the seating issue.,n,
71,Really disappointing @VirginTrains complaint responce! Despite they breached their health and safety rule! #UnhappyCustomer,@232962 2/2 from our Customer Resolutions team and detail that you wish to escalate this ^HP,complaint_feedback,Provide the appropriate complaint escalation process and review the reported health and safety breach. Ensure the customer's complaint is passed to the relevant team for investigation.,y,"The customer reports a potential health and safety rule breach, which is a serious issue requiring human investigation and escalation."
72,@VirginTrains  https://t.co/6qcfQQWAjV,@733410 Would that be one of yours @120576? ^MW,other,The message does not provide enough information for a specific support intent; request clarification.,y,The message is too short or ambiguous to determine the customer's request.
73,@VirginTrains Online. I was booking online so I did a refund then a new date. Change date said £10 as well,@429046 If you have this issue again you can call our Aftersales team who can rectify this without a charge. ^BT,ticket_change,"Explain the ticket date-change process and the applicable change fee, and advise the customer to contact the Aftersales team if the fee appears incorrect or the change needs to be rectified.",n,
74,@VirginTrains @122649 1013 from milton keynes to glasgow,@604986 @122649 You will need to contact __email__ with regard to any problems you encountered ^RD,other,The message does not contain enough information to determine the customer's request. Ask the customer to explain what they need help with regarding the 10:13 Milton Keynes to Glasgow service.,y,"The customer has provided only a journey detail without stating a question or support issue, so clarification or human review is required."
75,@VirginTrains - travelling to Coventry tomorrow (Sunday) morning - will tickets be accepted by other operators? Eg via Marylebone,"@250614 They will indeed, Ian ^MW",ticket_change,"Confirm whether the customer's existing ticket will be accepted on alternative operators or routes for the journey to Coventry, including the route via Marylebone.",n,
76,@VirginTrains Yay! Resurrection! https://t.co/MJgCRlh6i9,@584162 🙌🏻 Great stuff! What a relief ^CB,other,The message does not provide enough information for a specific support intent; request clarification.,n,
77,@VirginTrains 05.56 WBQ to EUS,"@301043 Thank you Lindsay, can you confirm what coach you are travelling in? &amp; we'll let our maintenance team know 
^JH",other,The message does not contain enough information to determine the customer's support request. Ask the customer to explain what issue they are experiencing with the 05:56 WBQ to EUS service.,y,"The customer has only provided journey details without describing a question or problem, so the actual support issue cannot be determined without clarification."
78,@VirginTrains When will Advance Tckts 28 Dec Liverpool to London be available? Need to reserve seats Disabled Railcard.,"@321718 Hi Lynn, Advance fares for 28th December are now open 😊  ^HP",fare_price,Explain when Advance fares for the requested Liverpool to London journey become available and provide any relevant information about booking with a Disabled Railcard.,n,
79,@VirginTrains you make me pay £5 to use your WiFi but it’s slower than dial up broadband 😒 come on virgin!,"@140889 Hi Sophie, apologies, can you try forgetting the network in your settings, reconnect &amp; follow https://t.co/1JEOSVPtGN ^HP",wifi_connectivity,Provide Wi-Fi information or troubleshooting guidance.,n,
80,"@virgintrains thanks a bunch once again for your appalling service. Have to wait at least 20 minutes in shitty Birmingham until my next train home. How's about do track inspections during the daytime, where shock horror, people aren't commuting back from work 🙄","@234351 We apologise for your delay this evening. Track safety inspections are carried out if there are reports of a track fault, to ensure services can continue to run safely for our passengers. Unfortunately this cannot be helped ^HP",train_status,"Provide information about the current delay and service disruption, explain the reason for the track inspection, and give the customer appropriate guidance for their onward journey.",y,"The customer is experiencing an active service disruption and is waiting for a connecting train, so the current operational situation requires human review."
81,"@VirginTrains My refund request number is 17RSZ44X9E I requested an amendment to my ticket, I just changed the time from 17.49 to 20.05 on 27th Nov. New ticket already purchased. Old 17.49 no longer needed hence the amend request",@140919 As this is an Aftersales reference you would need to speak with the team there. They can be contacted on 0344 556 5650 or by Live Chat here https://t.co/PAMNyrwzCC ^BT,ticket_change,Review the customer's ticket amendment request and confirm the status of the change from 17:49 to 20:05 on 27th November. Check the associated refund or amendment case and provide the appropriate next steps.,y,"The customer has an existing Aftersales/amendment reference and has already purchased a replacement ticket, so the specific booking and refund status needs to be reviewed by a human."
82,"@VirginTrains I paid for a train that I never got on. Please, is there a way I can claim the money back? It cost me a lot.","@694674 If you have abandoned travel altogether, you can get a refund from point of purchase. ^BT",refund_compensation,"Explain that if the customer has abandoned the journey, they can request a refund from the original point of purchase and provide the appropriate refund steps.",n,
83,"En route to Glasgow with @VirginTrains for the @91209 Cup draw ⚽️
Representing @673647 the champions of Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿
Service is great, can’t believe how personal it is. Virgin have even put up a message just for me in the toilet 🤗 https://t.co/WeGBuhKsTK",@673646 @91209 @673647 Have a great journey Stewart. ^PA,other,The message does not provide enough information for a specific support intent; request clarification.,n,
84,@VirginTrains 17.56 Crewe- Euston,@435081 I'm afraid this service doesn't have the availability for films/shows at the moment ^LC,other,The message does not provide enough information for a specific support intent; request clarification.,n,
85,@VirginTrains Yes well there was a mix up and I have now had to pay again and I missed my train. Your representatives were very unhelpful.,@368780 Sorry to hear that. Our Customer Resolutions team will be able to look into this further for you ^HP,complaint_feedback,"Review the customer's ticket and payment issue, including the duplicate payment and missed train, and investigate the complaint about the representatives' assistance. Provide the appropriate resolution through Customer Resolutions.",y,"The customer reports a payment/ticket mix-up, missed their train, and received unhelpful assistance from representatives, so the case requires investigation by the Customer Resolutions team."
86,@VirginTrains I have feedback about 1 of your employees -need email address to send it to which will actually b read not automated response,@435707 Hi Josie. If this is a complaint you can feed this back here https://t.co/Vz92KWu28V ^BT,complaint_feedback,Provide the appropriate contact or complaint channel where the customer can submit feedback about the employee and ensure the feedback can be reviewed by the relevant team.,n,
87,@VirginTrains There has been no info at the station. My ticket will be accepted on other trains right?,"@140484 Apologies Joseph, which station are you at? And yes, we have ticket acceptance in place with other operators ^HP",ticket_change,"Confirm whether the customer's existing ticket will be accepted on other trains or operators during the disruption, and ask for their current station if needed to provide the correct service guidance.",n,
88,@VirginTrains MCR - BHM,@124494 Manchester Piccadilly? ^LC,other,The message only provides a route abbreviation and does not contain a clear question or support request. Ask the customer to provide more details about what assistance they need.,y,"The customer's message is too incomplete to determine the intended support issue, so clarification is required before the request can be handled."
89,@VirginTrains So disappointed the seat sale doesn't apply to Sat 23rd Dec the one day we had hoped to visit relations in London,"@284516 Sorry Pauline, we don't have seat sale tickets on this date due to potential engineering works. ^BT",fare_price,Explain why the seat sale or discounted fares are unavailable for Saturday 23rd December and provide any relevant information about ticket availability for that date.,n,
90,@VirginTrains 1535 from Kings Cross to Leeds via Doncaster. Disgraceful to say it was ‘1st class’,"@790165 I see, we'll make @120576 aware of this for you ^MW",complaint_feedback,Review the customer's complaint about the quality of the First Class service on the 15:35 Kings Cross to Leeds service via Doncaster and pass the feedback to the relevant team for investigation.,y,"The customer is explicitly dissatisfied with the First Class service they received, so the service complaint should be reviewed by the relevant team."
