id,customer_message,true_intent,predicted_intent,expected_resolution,historical_evidence,evidence_case_count,retrieval_similarity,evidence_strength,evidence_agreement,predicted_decision,decision_reason,draft_reply
31,"@VirginTrains please help! I’ve booked a ticket on my app but for the wrong date, what can I do? #blondemoment",ticket_change,ticket_change,Explain whether the ticket can be changed and provide the appropriate ticket amendment process.,contact_aftersales,5,0.279,0.324,0.2,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. Historical VirginTrains responses directed similar ticket amendment requests to the Aftersales team. They can review the booking and advise on the available options.
33,@VirginTrains service to Crewe cancelled rerouted on #eastmidlandstrains so kind and helpful to help us figure out how to get home 😊👏,train_status,train_status,Provide relevant information about the disrupted service and acknowledge the alternative travel arrangement.,,5,0.214,0.143,0.0,ESCALATE,active disruption detected,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.
35,@VirginTrains It says the train is no longer stopping at chester is this correct?,train_status,train_status,"Provide the relevant train status, disruption information, and appropriate travel guidance.",station_staff,5,0.468,0.56,0.2,AUTO-HANDLE,"The request has moderate intent confidence and useful historical evidence, with no high-risk signals detected.","Thanks for getting in touch. Historical VirginTrains responses handled similar service-status enquiries by providing information about delays, cancellations, or service disruption."
36,Long trip on @VirginTrains today. Ridiculous they still charge (sweetly) for WiFi unlike @124107 free,wifi_connectivity,wifi_connectivity,Provide guidance about the onboard Wi-Fi service and explain the applicable Wi-Fi offering.,wifi_support,5,0.3,0.449,0.4,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.
40,@VirginTrains  Wifi so good it actually timed out while I was trying to pay for it this morning!,wifi_connectivity,wifi_connectivity,Provide guidance for connecting to or troubleshooting the onboard Wi-Fi service.,,5,0.224,0.155,0.0,ESCALATE,historical resolution agreement is weak,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.
48,@VirginTrains VT-061117-9279,other,other,Ask the customer to provide more information because the reference number alone does not identify the request.,,0,0.0,0.0,0.0,ESCALATE,Input quality check: reference_only,I need a little more information to understand your request. Please provide some details about the issue so the support team can assist you.
49,@VirginTrains It is yes,other,wifi_connectivity,The message is incomplete and does not provide enough context to determine the customer's request; ask the customer to clarify what they need assistance with.,wifi_support|station_staff,5,0.471,0.564,0.2,ESCALATE,intent confidence is very low,Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.
50,@VirginTrains extremely disappointed in the poor management of our journey. Can you please arrange for someone to contact me to discuss further? #complaint,complaint_feedback,complaint_feedback,Review the customer's complaint about the poor management of their journey and arrange appropriate follow-up through the complaints process.,contact_customer_resolutions|website_form|contact_aftersales,5,0.228,0.36,0.4,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch and sharing your feedback. Historical VirginTrains responses directed complaints and feedback to the appropriate support or customer-relations team.
53,"Big shout out to @VirginTrains, automatic refund for late train, top class customer service 👏👏👏",refund_compensation,refund_compensation,Acknowledge the customer's positive feedback about the automatic refund for the delayed train.,wifi_support,5,0.372,0.44,0.2,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. We need a little more information about your request so that we can provide the appropriate assistance.
66,@VirginTrains The only ones that are here are to Blackpool. Why have they been prioritised when there are hundreds of people queuing on platforms trying to get out of the station to go to Lancaster and further north?,train_status,station_facilities,Explain the current service disruption and why services toward Blackpool have been prioritised. Check the available services toward Lancaster and further north and provide appropriate alternative travel guidance.,website_form,5,0.307,0.358,0.2,AUTO-HANDLE,"The request has moderate intent confidence and useful historical evidence, with no high-risk signals detected.",Thanks for getting in touch. Historical VirginTrains responses provided information about station facilities. Please provide the station and facility you are asking about.
68,@VirginTrains Did YOU know you can collect tickets from any station? Not necessarily your nominated one!!! I guess you didn't! #virgintrains,booking_ticket,booking_ticket,"Provide guidance about booking, tickets, or ticket validity.",,5,0.226,0.158,0.0,ESCALATE,historical resolution agreement is weak,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.
69,@VirginTrains I was delayed 2 hrs on 5th Nov. Used app for tickets but didn’t get automatic refund as website states. After 1 week so submitted online form and still not heard anything. When will I get a refund?,refund_compensation,refund_compensation,Provide an update on the customer's delayed-travel refund/compensation claim and check the status of the online form submission. Explain the expected processing timeline and next steps.,delay_repay|contact_customer_resolutions|website_form,5,0.307,0.458,0.4,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. Historical VirginTrains support responses directed similar delayed-journey cases to Delay Repay. Please check the relevant Delay Repay process for your journey. Eligibility should be confirmed against your journey details.
70,"@VirginTrains hello, what are the unreserved coaches on the 11.23 London Euston to Birmingham new st please?",seat_reservation,seat_reservation,Provide guidance about seat reservations or investigate the seating issue.,,5,0.508,0.5,0.0,ESCALATE,historical resolution agreement is weak,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.
81,"@VirginTrains My refund request number is 17RSZ44X9E I requested an amendment to my ticket, I just changed the time from 17.49 to 20.05 on 27th Nov. New ticket already purchased. Old 17.49 no longer needed hence the amend request",ticket_change,refund_compensation,Review the customer's ticket amendment request and confirm the status of the change from 17:49 to 20:05 on 27th November. Check the associated refund or amendment case and provide the appropriate next steps.,contact_aftersales,5,0.203,0.228,0.2,ESCALATE,available evidence is insufficient for reliable automated handling,Thanks for getting in touch. We need a little more information about your request so that we can provide the appropriate assistance.
85,@VirginTrains Yes well there was a mix up and I have now had to pay again and I missed my train. Your representatives were very unhelpful.,complaint_feedback,ticket_change,"Review the customer's ticket and payment issue, including the duplicate payment and missed train, and investigate the complaint about the representatives' assistance. Provide the appropriate resolution through Customer Resolutions.",station_staff|delay_repay,5,0.288,0.335,0.2,ESCALATE,available evidence is insufficient for reliable automated handling,Thanks for getting in touch. Historical VirginTrains responses directed similar ticket amendment requests to the Aftersales team. They can review the booking and advise on the available options.
86,@VirginTrains I have feedback about 1 of your employees -need email address to send it to which will actually b read not automated response,complaint_feedback,complaint_feedback,Provide the appropriate contact or complaint channel where the customer can submit feedback about the employee and ensure the feedback can be reviewed by the relevant team.,website_form,5,0.29,0.438,0.4,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch and sharing your feedback. Historical VirginTrains responses directed complaints and feedback to the appropriate support or customer-relations team.
87,@VirginTrains There has been no info at the station. My ticket will be accepted on other trains right?,ticket_change,station_facilities,"Confirm whether the customer's existing ticket will be accepted on other trains or operators during the disruption, and ask for their current station if needed to provide the correct service guidance.",website_form,5,0.453,0.541,0.2,AUTO-HANDLE,"The request has moderate intent confidence and useful historical evidence, with no high-risk signals detected.",Thanks for getting in touch. Historical VirginTrains responses provided information about station facilities. Please provide the station and facility you are asking about.
100,@VirginTrains - bought a ticket. Can’t see it on the app. Was told to buy another ticket and get a refund. Ridiculous!! Make it easy.,ticket_change,booking_ticket,Review the customer's original ticket and the issue preventing it from appearing in the app. Check the advice to purchase another ticket and confirm the appropriate refund and ticket-resolution process.,refund,5,0.348,0.41,0.2,AUTO-HANDLE,"The request has moderate intent confidence and useful historical evidence, with no high-risk signals detected.",Thanks for getting in touch. Historical VirginTrains responses handled similar ticket and booking questions by checking the ticket type and journey details.
103,Very tacky of @VirginTrains to repurpose audio announcements of it's disabled toilets for advertising. This is an accessibility feature to help those with a broad range of disabilities. Might as well paint the seat backs yellow and stick Ryanair on the side of the train!,complaint_feedback,seat_reservation,Acknowledge the customer's accessibility complaint about repurposing audio announcements for disabled toilets as advertising and pass the feedback to the appropriate team for review.,,5,0.195,0.119,0.0,ESCALATE,intent confidence is very low; historical retrieval evidence is weak; historical resolution agreement is weak,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.
105,Hey @VirginTrains with delay repay can I get the money back as vouchers or does it have to go against a card? Thanks,refund_compensation,refund_compensation,Explain the applicable refund or compensation process and relevant next steps.,website_form,5,0.278,0.322,0.2,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. We need a little more information about your request so that we can provide the appropriate assistance.
106,@VirginTrains Where? https://t.co/Ls0qazhyBr,other,other,The message does not provide enough information for a specific support intent; request clarification.,,0,0.0,0.0,0.0,ESCALATE,Input quality check: very_short_message,I need a little more information to understand your request. Please provide some details about the issue so the support team can assist you.
107,@VirginTrains The cheapest available tickets so advance I suppose. Total rip off to sit on a seat. Will never use virgin trains again!,fare_price,fare_price,"Provide information about the cheapest available fares and how the customer can find the best-priced tickets, including Advance fares where applicable.",direct_message,5,0.229,0.262,0.2,ESCALATE,available evidence is insufficient for reliable automated handling,Thanks for getting in touch. Historical VirginTrains responses provided fare information based on the journey and ticket type. Please provide your journey details and travel date.
110,@VirginTrains 0652 Edinburgh to Euston via brum. Staff member in question called parisa,other,train_status,The message provides journey and staff details but does not state the actual support request or issue. Ask the customer to provide more information about what happened and what assistance they need.,,5,0.247,0.184,0.0,ESCALATE,intent confidence is very low; historical resolution agreement is weak,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.
115,@VirginTrains I have paid for a first class ticket from Manchester to London (13:40) and the first class has been declassified due cancellations of previous trains. Would I get a refund as the first class is now overcrowded and everyone can use it without having paid for it.,refund_compensation,refund_compensation,Review the customer's First Class ticket and determine whether they are eligible for a refund or compensation because the First Class accommodation was declassified and overcrowded due to cancellations.,website_form,5,0.287,0.333,0.2,ESCALATE,available evidence is insufficient for reliable automated handling,Thanks for getting in touch. We need a little more information about your request so that we can provide the appropriate assistance.
116,"@VirginTrains We can’t afford to get back, we got the wrong tickets and will be stranded in London if we can’t change 😩",ticket_change,ticket_change,"Help the customer amend or correct the incorrectly purchased tickets so they can travel back from London, and direct them to the Aftersales team for assistance if the booking cannot be changed directly.",station_staff,5,0.218,0.247,0.2,ESCALATE,active disruption detected,Thanks for getting in touch. Historical VirginTrains responses directed similar ticket amendment requests to the Aftersales team. They can review the booking and advise on the available options.
127,@VirginTrains what is your best priced return ticket for today Carlisle to Glasgow?,fare_price,fare_price,"Explain the relevant fare, pricing, or ticket-release information.",contact_aftersales,5,0.28,0.325,0.2,ESCALATE,intent confidence is very low,Thanks for getting in touch. Historical VirginTrains responses provided fare information based on the journey and ticket type. Please provide your journey details and travel date.
134,"@VirginTrains Of course! No replies to letters, no refund! Abysmal customer service!",refund_compensation,refund_compensation,"Check the customer's previous correspondence and refund case using any available reference numbers, then provide an update on the outstanding refund and next steps.",station_staff,5,0.344,0.405,0.2,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. We need a little more information about your request so that we can provide the appropriate assistance.
135,Does anyone know where the 5:40 from Glasgow is? Apparently @VirginTrains have lost it,train_status,lost_property,Provide the current status of the 5:40 train from Glasgow and explain any delay or disruption affecting its service.,,5,0.29,0.237,0.0,ESCALATE,intent confidence is very low; historical resolution agreement is weak,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.
138,@VirginTrains Thanks which coaches are unreserved @VirginTrains,seat_reservation,other,Provide guidance about seat reservations or investigate the seating issue.,,0,0.0,0.0,0.0,ESCALATE,Input quality check: conversational_fragment,I need a little more information to understand your request. Please provide some details about the issue so the support team can assist you.
140,@VirginTrains Nobody seems to know about “endorsing”. Cleaner suggests trying Virgin 1st class lounge. Buck swiftly passed to Network Rail reception.,booking_ticket,station_facilities,"Explain when a through ticket with a connection can be endorsed or validated by staff, and clarify the customer's ticket situation.",lost_property_team,5,0.2,0.225,0.2,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. Historical VirginTrains responses provided information about station facilities. Please provide the station and facility you are asking about.
145,@virgintrains are they any plans to improve your Wi-fi it’s about as much use as mesh umbrella,wifi_connectivity,wifi_connectivity,Provide Wi-Fi information or troubleshooting guidance.,wifi_support,5,0.291,0.438,0.4,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.
149,@VirginTrains just bought wifi on a west coast service from Bham to Glasgow and it doesn't work can u sort it out or refund me,wifi_connectivity,wifi_connectivity,Provide Wi-Fi information or troubleshooting guidance.,wifi_support,5,0.327,0.484,0.4,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.
155,@VirginTrains 30 minute phone call to change date on train ticket? This is madness,ticket_change,ticket_change,Provide guidance on changing the date of the train ticket and the appropriate support channel for handling the amendment.,contact_aftersales,5,0.216,0.245,0.2,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. Historical VirginTrains responses directed similar ticket amendment requests to the Aftersales team. They can review the booking and advise on the available options.
162,Hi @VirginTrains someone left their 1stclass ticket for the train I’m now on in the machine. Being a top bloke I fought off the idea of using it instead of my own cheap ticket and handed it in. Does Virgin reward this kind of Good Samaritan work with free upgrades on said train?,other,lost_property,Acknowledge the customer's gesture and explain that Virgin does not provide a free upgrade or reward for handing in another passenger's ticket.,station_staff,5,0.18,0.2,0.2,ESCALATE,intent confidence is very low; historical retrieval evidence is weak,Thanks for getting in touch. Historical VirginTrains responses directed lost-property enquiries to the Lost Property team. Please provide your journey and item details.
165,You’ve gotta hand it to them the staff at Euston station have been incredible!! Can’t fault them @VirginTrains,other,complaint_feedback,Thank the customer for the positive feedback about the Euston station staff.,contact_customer_resolutions|website_form,5,0.326,0.383,0.2,AUTO-HANDLE,"The request has moderate intent confidence and useful historical evidence, with no high-risk signals detected.",Thanks for getting in touch and sharing your feedback. Historical VirginTrains responses directed complaints and feedback to the appropriate support or customer-relations team.
171,"@VirginTrains paid for WiFi on my train but didn’t receive a code, can you help? 🙂",wifi_connectivity,wifi_connectivity,Provide Wi-Fi information or troubleshooting guidance.,wifi_support|station_staff,5,0.592,0.6,0.2,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.
177,@VirginTrains ?? Any answer on this pls? Still delayed at Leeds (45 mins late) think 19:15 is my only option.,train_status,train_status,"Provide current train status, disruption information, or appropriate alternative travel guidance.",,5,0.342,0.302,0.0,ESCALATE,historical resolution agreement is weak,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.
188,@VirginTrains @764611 If you book directly with Virgin. They normally refund this automatically,refund_compensation,refund_compensation,Explain the applicable refund or compensation process and relevant next steps.,website_form,5,0.307,0.359,0.2,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. We need a little more information about your request so that we can provide the appropriate assistance.
196,@VirginTrains @424125 I paid a fiver for piss poor wifi that kept dropping out. Who do i complain to for a refund?,wifi_connectivity,wifi_connectivity,Provide the appropriate contact or refund process for the customer's paid Wi-Fi service and review their eligibility for a refund due to repeated connection failures.,website_form|refund|wifi_support|direct_message,5,0.234,0.267,0.2,ESCALATE,available evidence is insufficient for reliable automated handling,Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.
199,@VirginTrains Booked in advance. Seat reserved. Off peak single (online),seat_reservation,fare_price,Provide guidance about seat reservations or investigate the seating issue.,website_form,5,0.399,0.474,0.2,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Thanks for getting in touch. Historical VirginTrains responses provided fare information based on the journey and ticket type. Please provide your journey details and travel date.
