id,customer_message,true_intent,predicted_intent,intent_correct,intent_confidence,true_escalation,predicted_escalation,escalation_correct,decision,decision_reason,expected_resolution,draft_reply,grounding_overlap,top_similarity,evidence_strength,evidence_agreement,risk_signals,evidence_available,evidence_case_count,evidence_actions,unsupported_claim_count,unsupported_patterns,length_score,intent_relevant,retrieval_leakage
11,@VirginTrains Yes I would please. This man made me feel undervalued and threatened,complaint_feedback,complaint_feedback,True,0.346,True,True,True,ESCALATE,intent confidence is very low,Acknowledge the customer's concern and provide the appropriate process for formally reporting the threatening or inappropriate staff interaction.,Thanks for getting in touch and sharing your feedback. Historical VirginTrains responses directed complaints and feedback to the appropriate support or customer-relations team.,0.364,0.208,0.235,0.2,,True,5,direct_message,0,,3,True,False
12,@VirginTrains @528627 I’m in the same position - do we need to change ticket or they will just accept our tickets for tonight? Thanks,ticket_change,booking_ticket,False,0.336,False,True,False,ESCALATE,intent confidence is very low,Confirm that the existing ticket will be accepted for the journey and explain that no ticket change is required.,Thanks for getting in touch. Historical VirginTrains responses handled similar ticket and booking questions by checking the ticket type and journey details.,0.2,0.246,0.283,0.2,,True,5,website_form|station_staff,0,,3,True,False
13,"On a cold, delayed @VirginTrains train &amp; missing Thriller Live in London at 7.30 which I have already paid £35 for due to delays - my luck",train_status,train_status,True,0.378,True,True,True,ESCALATE,financial or transaction issue detected,"Acknowledge the delay, explain the disruption, and provide information about the current train situation and expected arrival.","Thanks for getting in touch. Historical VirginTrains responses handled similar service-status enquiries by providing information about delays, cancellations, or service disruption.",0.143,0.192,0.215,0.2,financial_dispute,True,5,station_staff|ticket_validity,0,,3,True,False
14,Disappointed in my first ever @VirginTrains trip. 08.00 Gla - Euston block booking of over 20 seats but we’ve been challenged several times by others who think we are in their seats! #hassle,seat_reservation,seat_reservation,True,0.422,True,True,True,ESCALATE,historical retrieval evidence is weak; historical resolution agreement is weak,Confirm the seat reservations for the group booking and advise the customer how to verify or resolve the seat allocation issue.,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.238,0.172,0.09,0.0,,True,5,,0,,3,False,False
15,Thanks @VirginTrains for a lovely end to our honeymoon with the worst excuse for a train being delayed. We are waiting for a guard!,train_status,other,False,0.0,True,True,True,ESCALATE,Input quality check: conversational_fragment,"Identify the affected train service, provide information about the delay and current situation, and advise the customer based on the available service information.",I need a little more information to understand your request. Please provide some details about the issue so the support team can assist you.,0.0,0.0,0.0,0.0,conversational_fragment,False,0,,0,,3,True,False
16,@VirginTrains Yes i had selected to allocate my seats and it didnt! Got to the station ans train is rammed packed,seat_reservation,seat_reservation,True,0.337,True,True,True,ESCALATE,intent confidence is very low,Check the customer's seat reservation and explain that the selected seat was not allocated; provide appropriate seating guidance or investigate the reservation issue.,Thanks for getting in touch. This appears to relate to your seat reservation. Historical support responses handled similar requests by checking the reservation and the affected service.,0.25,0.279,0.324,0.2,,True,5,refund|direct_message,0,,3,True,False
17,@VirginTrains  https://t.co/CPCftAnnuo,other,other,True,0.0,True,True,True,ESCALATE,Input quality check: url_only,The message does not contain enough information to determine the customer's request; ask the customer to provide more details.,I need a little more information to understand your request. Please provide some details about the issue so the support team can assist you.,0.0,0.0,0.0,0.0,url_only,False,0,,0,,3,True,False
18,"Imagine booking a seat with a table and plug and getting a standard seat, cheers lads @VirginTrains",seat_reservation,seat_reservation,True,0.894,True,True,True,ESCALATE,historical resolution agreement is weak,Check the customer's seat reservation and explain why the requested table and plug seat was not allocated; provide appropriate seating guidance.,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.333,0.52,0.5,0.0,,True,5,,0,,3,False,False
19,@VirginTrains I requested a refund for £16.50 're tickets to Manc Airport to meet Monarch flight but only received £6.50. Seems very mean,refund_compensation,refund_compensation,True,0.607,False,True,False,ESCALATE,financial or transaction issue detected,Explain the applicable refund or compensation process and provide the appropriate claim guidance.,Thanks for getting in touch. We need a little more information about your request so that we can provide the appropriate assistance.,0.333,0.253,0.291,0.2,financial_dispute,True,5,website_form|station_staff|direct_message,0,,3,False,False
20,@VirginTrains Hi there. I've just booked a ticket from Brighton to Bournemouth (Ref 7TKKH866) but chose the wrong date. I needed 5th December but booked 12th December. Is there any way to cancel this or amend?,ticket_change,ticket_change,True,0.409,False,True,False,ESCALATE,historical retrieval evidence is weak,Explain whether the ticket can be changed and provide the appropriate ticket amendment process.,Thanks for getting in touch. Historical VirginTrains responses directed similar ticket amendment requests to the Aftersales team. They can review the booking and advise on the available options.,0.192,0.186,0.208,0.2,,True,5,refund|contact_customer_resolutions,0,,3,True,False
21,"Top tip for using mobile tickets on @VirginTrains . You arrive at the station and the tickets have not downloaded, apparently its your problem. They won't refund, it is apparently your responsibility to be prepared!",refund_compensation,refund_compensation,True,0.284,True,True,True,ESCALATE,intent confidence is very low; historical retrieval evidence is weak; historical resolution agreement is weak,"Review the mobile ticket failure and refund issue, then direct the customer to the Aftersales team for case-specific assistance.",Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.286,0.159,0.074,0.0,,True,5,,0,,3,False,False
22,@VirginTrains He told me the conversation was being recorded so I can prove that he was charging me that silly amount. So your telling me he made a mistake twice 1 by selling me the wrong ticket and 2 charging me a ridiculous high price for the right ticket?,fare_price,ticket_change,False,0.214,True,True,True,ESCALATE,intent confidence is very low,"Review the ticket type and fare charged, explain whether the fare was correct, and investigate the reported ticketing error.",Thanks for getting in touch. Historical VirginTrains responses directed similar ticket amendment requests to the Aftersales team. They can review the booking and advise on the available options.,0.154,0.22,0.25,0.2,,True,5,direct_message,0,,3,True,False
23,@VirginTrains yet another reserved window seat. And b4 you ask no isn’t a seat to move to. Feeling 🤢 again. Just like yesterday https://t.co/bZToK6fCbm,seat_reservation,seat_reservation,True,0.939,True,True,True,ESCALATE,The customer message does not contain enough information for a reliable response.,"Check the customer's reserved seat and investigate why the window seat was not available, while providing immediate seating assistance for the current journey.",Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.238,0.314,0.267,0.0,insufficient_information,True,5,,0,,3,False,False
24,"@VirginTrains @120576 Nobody needs to ""look into it"" and I didn't ask you to. I have filed for compensation. I was making an observation about yet another journey from hell on a Virgin train. EC or whatever makes no difference to the traveller.",complaint_feedback,refund_compensation,False,0.286,True,True,True,ESCALATE,intent confidence is very low; historical retrieval evidence is weak,"Review the customer's compensation case and acknowledge the complaint about the poor journey, while avoiding unnecessary investigation since the customer has already filed for compensation.",Thanks for getting in touch. We need a little more information about your request so that we can provide the appropriate assistance.,0.429,0.14,0.15,0.2,,True,5,contact_customer_resolutions,0,,3,False,False
25,@VirginTrains Hiya - can I DM you about an amendment I have made to a booking? Not getting anywhere on the phone and need it resolved soon as poss. Thanks!,ticket_change,ticket_change,True,0.366,True,True,True,ESCALATE,available evidence is insufficient for reliable automated handling,"Review the booking amendment and duplicate tickets, then help the customer resolve the accidental order and explain the applicable refund process.",Thanks for getting in touch. Historical VirginTrains responses directed similar ticket amendment requests to the Aftersales team. They can review the booking and advise on the available options.,0.077,0.298,0.347,0.2,,True,5,direct_message,0,,3,True,False
26,@VirginTrains when will dates and prices be out for September 2018 please,fare_price,fare_price,True,0.513,False,True,False,ESCALATE,historical retrieval evidence is weak; historical resolution agreement is weak,"Explain the applicable fare, price, or booking conditions.",Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.238,0.175,0.094,0.0,,True,5,,0,,3,False,False
27,@VirginTrains I am really disappointed and surprised about the state of your first class lounge at London Kings X!,complaint_feedback,station_facilities,False,0.581,False,True,False,ESCALATE,historical resolution agreement is weak,Acknowledge the concern and provide the appropriate complaint or feedback process.,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.19,0.354,0.318,0.0,,True,5,,0,,3,False,False
28,@VirginTrains Can I have the complaints contact?,complaint_feedback,complaint_feedback,True,0.676,False,False,True,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Acknowledge the concern and provide the appropriate complaint or feedback process.,Thanks for getting in touch and sharing your feedback. Historical VirginTrains responses directed complaints and feedback to the appropriate support or customer-relations team.,0.318,0.31,0.462,0.4,,True,5,website_form|contact_customer_resolutions|station_staff|wifi_support,0,,3,True,False
29,"@VirginTrains So now I arrive in Blackpool Sth an hour late, and basically that’s my problem? V disappointing.",refund_compensation,train_status,False,0.281,False,True,False,ESCALATE,intent confidence is very low,Explain the applicable refund or compensation process and provide the appropriate claim guidance.,"Thanks for getting in touch. Historical VirginTrains responses handled similar service-status enquiries by providing information about delays, cancellations, or service disruption.",0.095,0.263,0.303,0.2,,True,5,contact_aftersales|website_form,0,,3,True,False
30,@VirginTrains Anyone to discus a booking I've made. I've tried to amend it online and now ended up with two lots of tickets. I just booked them and don't have the actual printed tickets and it is saying I won't get money back for the accidental order until I post them. But I don't have them?!,ticket_change,ticket_change,True,0.249,True,True,True,ESCALATE,intent confidence is very low; historical retrieval evidence is weak,"Review the booking amendment and duplicate tickets, then help the customer resolve the accidental order and explain the applicable refund process.",Thanks for getting in touch. Historical VirginTrains responses directed similar ticket amendment requests to the Aftersales team. They can review the booking and advise on the available options.,0.346,0.164,0.28,0.4,,True,5,website_form|delay_repay|contact_aftersales,0,,3,True,False
31,"@VirginTrains please help! I’ve booked a ticket on my app but for the wrong date, what can I do? #blondemoment",ticket_change,ticket_change,True,0.78,False,False,True,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Explain whether the ticket can be changed and provide the appropriate ticket amendment process.,Thanks for getting in touch. Historical VirginTrains responses directed similar ticket amendment requests to the Aftersales team. They can review the booking and advise on the available options.,0.308,0.279,0.324,0.2,,True,5,contact_aftersales,0,,3,True,False
32,@VirginTrains I'm on the 12:33 London KX to Leeds. I have a seat now thanks but it was really embarrassing &amp; confusing! 🤦🏻‍♀️,seat_reservation,seat_reservation,True,0.344,True,True,True,ESCALATE,intent confidence is very low; historical resolution agreement is weak,Check the customer's seat reservation and provide appropriate seating guidance for the current journey.,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.429,0.349,0.312,0.0,,True,5,,0,,3,False,False
33,@VirginTrains service to Crewe cancelled rerouted on #eastmidlandstrains so kind and helpful to help us figure out how to get home 😊👏,train_status,train_status,True,0.314,False,True,False,ESCALATE,active disruption detected,Provide relevant information about the disrupted service and acknowledge the alternative travel arrangement.,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.333,0.214,0.143,0.0,active_disruption,True,5,,0,,3,False,False
34,@VirginTrains hi we are booked on the 11:15 from manc to eust.  Can we go from man &gt; Leeds and then Leeds &gt; Stevenage,ticket_change,train_status,False,0.353,False,True,False,ESCALATE,historical resolution agreement is weak,Confirm whether the customer's existing ticket is valid for the proposed alternative route and explain any applicable ticket acceptance arrangements.,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.333,0.234,0.167,0.0,,True,5,,0,,3,False,False
35,@VirginTrains It says the train is no longer stopping at chester is this correct?,train_status,train_status,True,0.432,False,False,True,AUTO-HANDLE,"The request has moderate intent confidence and useful historical evidence, with no high-risk signals detected.","Provide the relevant train status, disruption information, and appropriate travel guidance.","Thanks for getting in touch. Historical VirginTrains responses handled similar service-status enquiries by providing information about delays, cancellations, or service disruption.",0.095,0.468,0.56,0.2,,True,5,station_staff,0,,3,True,False
36,Long trip on @VirginTrains today. Ridiculous they still charge (sweetly) for WiFi unlike @124107 free,wifi_connectivity,wifi_connectivity,True,0.931,False,False,True,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Provide guidance about the onboard Wi-Fi service and explain the applicable Wi-Fi offering.,Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.,0.32,0.3,0.449,0.4,,True,5,wifi_support,0,,3,True,False
37,". @VirginTrains, you're a disgrace. 10.58 from Preston that Edinburgh is delayed, missing several coaches, toilets stink, WiFi out. Can you get anything  right?",train_status,wifi_connectivity,False,0.346,True,True,True,ESCALATE,intent confidence is very low,"Provide immediate information about the delayed service and available travel assistance, while addressing the reported service issues and investigating the disruption.",Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.,0.12,0.287,0.334,0.2,,True,5,refund|delay_repay,0,,3,True,False
38,"London to Birmingham via @VirginTrains 
Very good lounge at Euston, and i have some complimentary nuts! https://t.co/bMbFc5XE22",station_facilities,station_facilities,True,0.507,False,True,False,ESCALATE,The customer message does not contain enough information for a reliable response.,Acknowledge the customer's positive feedback about the station lounge.,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.286,0.379,0.348,0.0,insufficient_information,True,5,,0,,3,False,False
39,@VirginTrains So what now?,other,other,True,0.0,True,True,True,ESCALATE,Input quality check: non_support_question,Ask the customer to clarify what assistance they need because the message does not identify a specific request.,I need a little more information to understand your request. Please provide some details about the issue so the support team can assist you.,0.0,0.0,0.0,0.0,non_support_question,False,0,,0,,3,True,False
40,@VirginTrains  Wifi so good it actually timed out while I was trying to pay for it this morning!,wifi_connectivity,wifi_connectivity,True,0.873,False,True,False,ESCALATE,historical resolution agreement is weak,Provide guidance for connecting to or troubleshooting the onboard Wi-Fi service.,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.143,0.224,0.155,0.0,,True,5,,0,,3,False,False
41,"@VirginTrains Sorry for the late reply, I couldn’t connect! Nope still not improving 😞",wifi_connectivity,wifi_connectivity,True,0.202,False,True,False,ESCALATE,intent confidence is very low,Acknowledge the Wi-Fi connection problem and provide troubleshooting or reset assistance to restore the onboard Wi-Fi service.,Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.,0.16,0.212,0.24,0.2,,True,5,direct_message|wifi_support,0,,3,True,False
42,@VirginTrains competing with @120872 for poor service. Two hour delay at Doncaster.  Shocking!,train_status,complaint_feedback,False,0.495,True,True,True,ESCALATE,available evidence is insufficient for reliable automated handling,"Provide current information about the delayed train and available travel assistance, while addressing the significant service disruption.",Thanks for getting in touch and sharing your feedback. Historical VirginTrains responses directed complaints and feedback to the appropriate support or customer-relations team.,0.227,0.278,0.322,0.2,,True,5,delay_repay|website_form,0,,3,True,False
43,@VirginTrains His name's Alex!,other,other,True,0.0,False,True,False,ESCALATE,Input quality check: conversational_fragment,Acknowledge the message because it does not contain a clear support request.,I need a little more information to understand your request. Please provide some details about the issue so the support team can assist you.,0.0,0.0,0.0,0.0,conversational_fragment,False,0,,0,,3,True,False
44,@VirginTrains @67826 Newcastle,other,other,True,0.0,True,True,True,ESCALATE,Input quality check: very_short_message,Ask the customer to provide more information because the message does not contain enough context to identify the request.,I need a little more information to understand your request. Please provide some details about the issue so the support team can assist you.,0.0,0.0,0.0,0.0,very_short_message,False,0,,0,,3,True,False
45,"@VirginTrains supposed to get 19:03 euston to birmingham new street, can I use my ticket for farnborough&gt;basingstoke&gt;new street?",ticket_change,booking_ticket,False,0.237,False,True,False,ESCALATE,intent confidence is very low,Confirm whether the customer's existing ticket is valid for the proposed alternative route and explain the applicable ticket acceptance or route restrictions.,Thanks for getting in touch. Historical VirginTrains responses handled similar ticket and booking questions by checking the ticket type and journey details.,0.3,0.502,0.6,0.2,,True,5,direct_message,0,,3,True,False
46,@VirginTrains I don’t have a reference number as it was over the phone?,other,other,True,0.0,True,True,True,ESCALATE,Input quality check: non_support_question,Review the customer's previous phone interaction and use the available identifying details to locate the case and provide the appropriate assistance.,I need a little more information to understand your request. Please provide some details about the issue so the support team can assist you.,0.0,0.0,0.0,0.0,non_support_question,False,0,,0,,3,True,False
47,"#BadTrainDay :

7.44am @232537 Essex Road service cancled. 

8.23am @VirginTrains Euston - Birmingham: arrived 45minuites late. 

5.12pm @121428  Birmingham - Plymouth: arrived an hour late.

These journeys cost £215; is this acceptable @145773 Chris Grayling?",refund_compensation,train_status,False,0.439,True,True,True,ESCALATE,financial or transaction issue detected,Review the customer's multiple delayed journeys and determine the appropriate Delay Repay compensation for the affected services.,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.19,0.262,0.203,0.0,financial_dispute,True,5,,0,,3,False,False
48,@VirginTrains VT-061117-9279,other,other,True,0.0,True,True,True,ESCALATE,Input quality check: reference_only,Ask the customer to provide more information because the reference number alone does not identify the request.,I need a little more information to understand your request. Please provide some details about the issue so the support team can assist you.,0.0,0.0,0.0,0.0,reference_only,False,0,,0,,3,True,False
49,@VirginTrains It is yes,other,wifi_connectivity,False,0.193,True,True,True,ESCALATE,intent confidence is very low,The message is incomplete and does not provide enough context to determine the customer's request; ask the customer to clarify what they need assistance with.,Thanks for getting in touch. Historical VirginTrains support responses provided guidance for onboard Wi-Fi issues. Please check the onboard connection and follow the available connection or login steps.,0.28,0.471,0.564,0.2,,True,5,wifi_support|station_staff,0,,3,True,False
50,@VirginTrains extremely disappointed in the poor management of our journey. Can you please arrange for someone to contact me to discuss further? #complaint,complaint_feedback,complaint_feedback,True,0.767,True,False,False,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Review the customer's complaint about the poor management of their journey and arrange appropriate follow-up through the complaints process.,Thanks for getting in touch and sharing your feedback. Historical VirginTrains responses directed complaints and feedback to the appropriate support or customer-relations team.,0.409,0.228,0.36,0.4,,True,5,contact_customer_resolutions|website_form|contact_aftersales,0,,3,True,False
51,@VirginTrains “Should”???,other,other,True,0.0,True,True,True,ESCALATE,Input quality check: very_short_message,Ask the customer to provide clarification because the message is too short to identify the support request.,I need a little more information to understand your request. Please provide some details about the issue so the support team can assist you.,0.0,0.0,0.0,0.0,very_short_message,False,0,,0,,3,True,False
52,"@VirginTrains @55766 Moving rtn tckts from 18th to 26th  Oct, got as far as the payment screen and it lost connection. Do you have internet issues right now?",ticket_change,lost_property,False,0.196,True,True,True,ESCALATE,intent confidence is very low; historical resolution agreement is weak,Review the customer's request to change the return ticket dates and help complete the amendment after the payment-stage connection failure.,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.286,0.324,0.279,0.0,,True,5,,0,,3,False,False
53,"Big shout out to @VirginTrains, automatic refund for late train, top class customer service 👏👏👏",refund_compensation,refund_compensation,True,0.768,False,False,True,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Acknowledge the customer's positive feedback about the automatic refund for the delayed train.,Thanks for getting in touch. We need a little more information about your request so that we can provide the appropriate assistance.,0.19,0.372,0.44,0.2,,True,5,wifi_support,0,,3,False,False
54,"@VirginTrains hi, am I allowed to travel on an earlier train with my advance-reserved seat ticket? Thank u. 😀",ticket_change,ticket_change,True,0.78,False,False,True,AUTO-HANDLE,Intent confidence and historical evidence provide sufficient support for automated handling.,Explain whether the customer's advance-reserved ticket can be used on an earlier train and clarify the applicable travel restrictions.,Thanks for getting in touch. Historical VirginTrains responses directed similar ticket amendment requests to the Aftersales team. They can review the booking and advise on the available options.,0.192,0.539,0.6,0.2,,True,5,ticket_validity,0,,3,True,False
55,"Thanks @VirginTrains for a smooth in app refund process, I booked the wrong destination by accident :-) https://t.co/nz7IolZ2Do",refund_compensation,other,False,0.0,False,True,False,ESCALATE,Input quality check: conversational_fragment,Acknowledge the customer's positive feedback about the in-app refund process.,I need a little more information to understand your request. Please provide some details about the issue so the support team can assist you.,0.0,0.0,0.0,0.0,conversational_fragment,False,0,,0,,3,True,False
56,"@VirginTrains and now you cancel the 1935 because you don’t have train crew? Shocking day, terrible service, beyond embarrassing",train_status,complaint_feedback,False,0.542,True,True,True,ESCALATE,available evidence is insufficient for reliable automated handling,"Provide immediate information about the cancelled service, available alternative travel arrangements, and applicable compensation guidance.",Thanks for getting in touch and sharing your feedback. Historical VirginTrains responses directed complaints and feedback to the appropriate support or customer-relations team.,0.227,0.206,0.232,0.2,,True,5,delay_repay,0,,3,True,False
57,"@VirginTrains We boarded at Wakefield on the 10.47 service to Edinburgh, there was barely enough space in the vestibule, let alone available seating",seat_reservation,seat_reservation,True,0.24,True,True,True,ESCALATE,intent confidence is very low; historical retrieval evidence is weak; historical resolution agreement is weak,"Provide immediate assistance with the lack of available seating and overcrowding on the current service, and check the customer's seating situation.",Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.333,0.172,0.09,0.0,,True,5,,0,,3,False,False
58,@VirginTrains wrong tickets printed despite proof of purchase. 2 extremely unhelpful virgin staff Jan &amp; Leyla. I need some help! 🙏😬☹️ https://t.co/doMAh4lBDa,ticket_change,station_facilities,False,0.22,True,True,True,ESCALATE,The customer message does not contain enough information for a reliable response.,"Review the customer's ticket purchase and the incorrectly printed tickets, then help resolve the ticketing issue and provide appropriate assistance.",Thanks for getting in touch. Historical VirginTrains responses provided information about station facilities. Please provide the station and facility you are asking about.,0.095,0.3,0.451,0.4,insufficient_information,True,5,contact_aftersales,0,,3,True,False
59,@VirginTrains Hi - tickets just now booked. Euston - Glasgow return.,booking_ticket,booking_ticket,True,0.29,False,True,False,ESCALATE,intent confidence is very low,Provide guidance or confirmation regarding the customer's newly booked ticket.,Thanks for getting in touch. Historical VirginTrains responses handled similar ticket and booking questions by checking the ticket type and journey details.,0.2,0.294,0.342,0.2,,True,5,direct_message|delay_repay|refund|wifi_support,0,,3,True,False
60,@VirginTrains He's not been through. Just leaving Motherwell so will be in Glc shortly. Think I've lost a couple of stone 😂,other,lost_property,False,0.245,False,True,False,ESCALATE,intent confidence is very low; historical retrieval evidence is weak; historical resolution agreement is weak,Acknowledge the message because it does not contain a clear support request.,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.143,0.174,0.092,0.0,,True,5,,0,,3,False,False
61,"@VirginTrains if I’m travelling Preston &gt; LONDON today , will thee be major issues due to yesterday’s flood sand Birmingham line block ?",train_status,train_status,True,0.422,False,True,False,ESCALATE,available evidence is insufficient for reliable automated handling,"Provide the relevant train status, disruption information, and appropriate travel guidance.","Thanks for getting in touch. Historical VirginTrains responses handled similar service-status enquiries by providing information about delays, cancellations, or service disruption.",0.048,0.237,0.271,0.2,,True,5,refund|website_form,0,,3,True,False
62,@VirginTrains Isn’t that everyday?,other,other,True,0.0,False,True,False,ESCALATE,Input quality check: non_support_question,Acknowledge the conversational message because it does not contain a support request.,I need a little more information to understand your request. Please provide some details about the issue so the support team can assist you.,0.0,0.0,0.0,0.0,non_support_question,False,0,,0,,3,True,False
63,"@VirginTrains in the first class lounge at Euston, very nice! Flapjacks are 👍👍😀",station_facilities,station_facilities,True,0.882,False,True,False,ESCALATE,historical resolution agreement is weak,Acknowledge the customer's positive feedback about the first-class lounge.,Thanks for getting in touch. We need a little more information about your request so that we can provide the right assistance.,0.333,0.759,0.5,0.0,,True,5,,0,,3,False,False
